Number,Name,Protocols,TVL
Ethereum,1590,"$92,85b"
Solana,354,"$11,472b"
Bitcoin,81,"$7,874b"
BSC,1005,"$7,468b"
Tron,45,"$6,181b"
Base,702,"$4,793b"
Arbitrum,948,"$3,227b"
Hyperliquid L1,106,"$2,444b"
Sui,97,"$2,022b"
Avalanche,533,"$1,912b"
Polygon,707,"$1,19b"
Linea,179,"$806,6m"
Aptos,82,"$777,66m"
Cronos,146,"$766,93m"
Sei,71,"$571,88m"
Unichain,73,"$495,29m"
Katana,18,"$485,18m"
OP Mainnet,380,"$461,19m"
Bitlayer,35,"$411,92m"
Berachain,115,"$395,85m"
Sonic,181,"$384,71m"
Cardano,59,"$370,14m"
Gnosis,105,"$348,08m"
PulseChain,53,"$326,04m"
Vaulta,25,"$310,85m"
CORE,73,"$301,79m"
Hydration,2,"$298,79m"
Scroll,161,"$283,07m"
dYdX,2,"$266,14m"
Hemi,46,"$257,93m"
Rootstock,37,"$248,89m"
Plume Mainnet,43,"$238,11m"
Mantle,146,"$226,88m"
TAC,11,"$219,02m"
Movement,17,"$167,38m"
BOB,32,"$158,08m"
Near,39,"$152,15m"
Algorand,41,"$149,63m"
TON,75,"$143,34m"
Stellar,19,"$137,81m"
Flare,26,"$133,77m"
Starknet,44,"$123,41m"
Provenance,2,"$121,96m"
Soneium,40,"$121,75m"
Kava,148,"$120,18m"
Stacks,16,"$118,71m"
Hedera,21,"$113,99m"
Flow,20,"$106,45m"
Mixin,10,"$101,9m"
XRPL,16,"$95,73m"
Fraxtal,39,"$80,2m"
Celo,81,"$78,85m"
Thorchain,6,"$77,58m"
Goat,13,"$70,48m"
BounceBit,15,"$67,26m"
Blast,196,"$64,67m"
XPR Network,3,"$61,96m"
World Chain,28,"$61,83m"
Osmosis,23,"$61,49m"
Ronin,12,"$58,49m"
Etherlink,16,"$54,84m"
BSquared,27,"$52,36m"
ZKsync Era,157,"$51,99m"
Kaia,72,"$51,89m"
Merlin,29,"$48,36m"
Verus,1,"$44,2m"
MultiversX,24,"$43,78m"
Tezos,22,"$43,09m"
Morph,20,"$40,48m"
Abstract,25,"$39,02m"
Story,16,"$37,96m"
Injective,35,"$37,24m"
Metis,79,"$34,34m"
Neutron,20,"$33,43m"
Bifrost Network,5,"$29,81m"
Filecoin,27,"$28,82m"
Corn,12,"$24,68m"
Reya Network,3,"$24,64m"
Swellchain,16,"$23,7m"
Cronos zkEVM,16,"$23,28m"
ICP,14,"$23,09m"
Waves,13,"$22,88m"
Rollux,5,"$22,74m"
Doge,6,"$20,5m"
Manta,81,"$17,51m"
IOTA,3,"$17,22m"
IoTeX,35,"$16,66m"
NEO,7,"$14,6m"
Initia,5,"$14,02m"
Icon,7,"$13,92m"
Fantom,370,"$13,88m"
WEMIX3.0,13,"$13,33m"
opBNB,52,"$13,28m"
X Layer,39,"$13,04m"
Immutable zkEVM,8,"$13,04m"
XDC,24,"$12,54m"
Eclipse,11,"$11,93m"
Chainflip,1,"$11,32m"
Sophon,6,"$11,24m"
Bifrost,3,"$11,21m"
ApeChain,26,"$11,06m"
Conflux,19,"$11,03m"
ZetaChain,39,"$10,73m"
ENI,1,"$10,17m"
Babylon Genesis,4,"$9,89m"
Telos,49,"$9,47m"
Zircuit,23,"$9,27m"
FSC,1,"$8,74m"
Ink,29,"$8,72m"
Astar,47,"$8,64m"
Mayachain,1,"$8,54m"
aelf,1,"$8,43m"
Bitcoincash,4,"$8,14m"
Fuel Ignition,9,"$8,08m"
K2,2,"$7,95m"
MAP Protocol,9,"$7,77m"
Ontology,3,"$7,67m"
Saga,3,"$7,23m"
Botanix,6,"$7,21m"
Moonbeam,77,"$7,14m"
Chiliz,11,"$6,8m"
Lisk,15,"$6,51m"
Secret,10,"$6,51m"
Venom,3,"$6,28m"
IOTA EVM,10,"$6,12m"
Bahamut,8,"$6,09m"
Terra2,17,"$5,89m"
VeChain,7,"$5,84m"
Wanchain,12,"$5,45m"
Radix,22,"$5,03m"
Vite,4,"$4,95m"
Oasis Sapphire,9,"$4,66m"
DFS Network,1,"$4,65m"
Elys,3,"$4,43m"
Polynomial,2,"$4,41m"
Aurora,76,"$4,37m"
Echelon Initia,1,"$4,3m"
Dexalot,1,"$4,25m"
Mode,102,"$3,86m"
Vision,2,"$3,85m"
Boba,42,"$3,72m"
Gravity by Galxe,15,"$3,57m"
Alephium,7,"$3,49m"
KUB,6,"$3,37m"
OKTChain,40,"$3,36m"
Ergo,10,"$3,29m"
Fluence,1,"$2,98m"
HashKey Chain,8,"$2,97m"
Dymension,4,"$2,92m"
Taiko,59,"$2,71m"
DefiChain,3,"$2,69m"
Vana,2,"$2,66m"
Haven1,1,"$2,64m"
Litecoin,9,"$2,6m"
Kujira,16,"$2,57m"
Polygon zkEVM,92,"$2,5m"
Beam,2,"$2,49m"
Yominet,1,"$2,46m"
Namada,1,"$2,45m"
Inertia,1,"$2,18m"
DFK,3,"$2,11m"
Moonriver,69,"$2,02m"
Nuls,4,"$1,78m"
Oasys,6,"$1,73m"
GodwokenV1,7,"$1,68m"
Shibarium,17,"$1,66m"
Viction,8,"$1,65m"
KCC,28,"$1,55m"
UX,3,"$1,54m"
EDU Chain,8,"$1,47m"
Oraichain,5,"$1,42m"
SX Rollup,2,"$1,38m"
Harmony,64,"$1,35m"
DeFiChain EVM,3,"$1,3m"
HAQQ,5,"$1,23m"
AB,1,"$1,22m"
Terra Classic,33,"$1,15m"
Zilliqa,8,"$1,13m"
Equilibrium,1,"$1,13m"
QL1,1,"$1,11m"
Prom,2,"$1,09m"
Rangers,2,"$1,09m"
Dogechain,49,"$1,06m"
Songbird,8,"$1,05m"
Theta,5,$1m
Unit Zero,5,$976 632
Supra,6,$966 510
Arbitrum Nova,13,$899 383
Nolus,1,$893 839
Elastos,3,$847 749
XCHAIN,1,$845 549
Wax,15,$831 524
Carbon,5,$810 474
Nibiru,13,$808 558
Titan,2,$799 629
WINR,2,$798 949
Kadena,7,$756 840
Superseed,5,$751 319
Milkomeda C1,21,$677 235
Redbelly,2,$676 008
Archway,9,$650 285
ShimmerEVM,8,$647 824
Meter,13,$627 972
Odyssey,3,$619 368
Taraxa,10,$610 585
Onus,5,$609 722
Fuse,38,$597 535
Interlay,5,$593 648
BEVM,9,$591 254
NOS,1,$564 416
Lens,2,$526 494
XPLA,3,$523 679
Starcoin,3,$514 059
ThunderCore,12,$497 204
Eventum,1,$472 376
Electroneum,2,$457 910
zkLink Nova,26,$454 718
DeFiVerse,1,$450 249
Coti,3,$446 175
Energi,2,$441 685
SatoshiVM,1,$432 453
Mantra,4,$419 185
Velas,16,$411 200
Bittorrent,19,$408 373
CSC,5,$401 745
EthereumClassic,12,$396 272
LightLink,6,$381 931
Canto,26,$378 666
SKALE Europa,6,$374 539
Zero Network,3,$374 423
Ultron,4,$367 711
Obyte,7,$365 907
Everscale,2,$352 378
Shido,1,$338 988
MTT Network,1,$328 004
Acala,8,$311 085
Superposition,5,$303 704
Neon,12,$294 396
Persistence One,3,$292 292
Agoric,2,$276 292
RSS3,1,$272 019
Oasis Emerald,19,$263 166
Juno,11,$255 804
Xai,3,$242 862
Elysium,1,$241 716
Qubic,2,$229 614
Evmos,26,$227 754
Kintsugi,1,$222 515
Degen,9,$221 417
Ancient8,3,$205 955
AO,1,$204 586
Karura,5,$203 328
EnergyWeb,1,$201 153
Libre,1,$165 243
RENEC,2,$163 174
DuckChain,5,$159 212
EOS EVM,9,$153 195
Kroma,10,$152 160
Naka,1,$148 086
Civitia,1,$139 780
Crab,1,$138 312
OpenGPU,1,$133 134
Saakuru,1,$131 937
Massa,2,$129 599
AILayer,6,$128 735
Asset Chain,3,$127 881
Chihuahua,5,$127 719
Kardia,6,$127 311
Loop,2,$125 345
Shape,4,$119 095
HeLa,3,$119 011
Zkfair,13,$115 401
MVC,1,$114 099
Stargaze,3,$110 294
svmBNB,1,$107 126
smartBCH,24,$98 320
Heco,51,$97 573
Nahmii,1,$95 220
Zora,12,$95 152
LUKSO,5,$94 652
Omax,2,$92 631
XRPL EVM,6,$89 071
Dash,1,$87 643
Tombchain,1,$84 417
Matchain,5,$81 156
Mint,5,$78 747
Q Protocol,4,$76 212
Genesys,2,$73 391
Polkadex,2,$72 043
EthereumPoW,18,$69 862
Sanko,4,$66 149
Godwoken,3,$65 924
FunctionX,4,$65 252
Stratis,2,$63 376
Parex,1,$62 521
CrossFi,5,$56 824
Cyber,3,$56 167
Crescent,1,$55 580
Findora,5,$53 765
Step,2,$51 595
Aura Network,2,$48 175
Pego,2,$47 690
